id,area,stage,title,acceptance,source_ids,state
B24,seismic,extension,Require a separate seismic profile,"System, joint, capacity-design and detailing context is required before seismic compliance can be claimed.",S04,proposed
B25,scope,extension,Gate advanced beam families,"Deep/continuous-deep, openings, dapped, curved, prestressed and nonprismatic beams each need explicit capability and reference suites.",S06;S09,proposed
B26,contract,first-section,Use one versioned input/result contract,"C# DTOs, worksheet mapping, documentation and future HTTP projections validate against the same named schema.",S03;S13;S14,proposed
B27,contract,first-section,Classify every optional input,"Fields are required, conditional, profile-resolved or cosmetic; absence, null and zero have different meanings.",S01;S15,proposed
B28,contract,first-section,Make defaults effective and auditable,A named profile resolves engineering defaults before hashing; returned effective inputs show values and origins.,S01;S15,proposed
B29,contract,first-section,Publish example-linked signatures,"Every public operation lists purpose, input/output types, units, errors, support and at least one worked scenario.",S12;S28,proposed
B30,contract,first-section,Separate status dimensions,"Execution, engineering outcome, scope completeness and freshness are separate; missing checks cannot collapse to PASS.",S02;S11,proposed
B31,identity,first-section,Bind results to numerical inputs and rules,Any changed engineering input or source data digest invalidates the prior result; report styling has a separate identity.,S02;S10,proposed
B32,evidence,first-section,Preserve calculation provenance,"Per-check source/clause/table/case identifiers, applied branch, intermediate quantities and tolerances are recoverable.",S05;S06,proposed
B33,evidence,first-section,Separate schema examples from numerical proofs,A schema-valid payload is not a passed calculation; expected reference values never become fabricated C# results.,S08;S11,proposed
B34,evidence,first-section,Reconcile disagreements before porting,"Compare sourcebook, library and StructProof by exact revision and assumptions; resolve outcome differences before adopting a formula.",S05;S06;S09,proposed
B35,excel,first-section,Expose usable worksheet inputs,"Named input tables show units, required fields and permitted choices; errors identify the affected cell/field.",S12;S14,proposed
B36,excel,first-member,Use commands for workflow effects,Calculation functions are deterministic; report/file/workbook writes run through explicit application commands.,S23,proposed
B37,excel,first-member,Prove calculation freshness in Excel,"Editing a dependency, reopening, manual calculation mode and missing add-in cannot leave an apparently current issued result.",S02;S23,proposed
B38,excel,first-member,Handle ranges and batch results consistently,Blank/error/text/mixed-unit cells have specified errors; rows retain beam/case identity and partial-batch failures.,S03;S14,proposed
B39,report,first-member,Deliver an understandable calculation report,"Report lists effective inputs, assumptions, scope, checks, governing cases, source revisions and drawings; units persist in export.",S24;S04,proposed
B40,report,first-member,Allow diagnostics but gate issued packages,Draft reports can show failed/incomplete results; issued complete-design/BBS exports require current complete passing required checks.,S02;S04,proposed
B41,performance,first-section,Measure kernel and Excel costs separately,"Benchmark cold/warm calls, allocation, batch sizes and Excel recalculation on a recorded machine; do not promise a language speedup.",S23,proposed
B42,platform,first-section,Qualify runtime and add-in coexistence,"Pin SDK/runtime/package; prove x64 Excel load, missing-runtime behavior and coexistence with required add-ins.",S20;S21;S22,proposed
B43,platform,first-member,"Provide install, help and recovery","A clean target machine can install, open the example workbook, find help and recover from a failed run without losing inputs.",S20;S26,proposed
B44,compatibility,first-section,Version public behavior deliberately,Breaking field/name/unit/status/default changes require a contract migration; strict unknown-field rejection is negotiated by schema version.,S13;S14,proposed
B45,etabs,later-integration,Keep ETABS behind a separate adapter,"Import binds model/results revision, units, axes, station offsets and case identity; no COM calls enter pure calculation functions.",S16;S17;S23,proposed
B46,delivery,first-section,Ship one verified vertical workflow at a time,"A milestone includes input, calculation, example, result and user output; module count or closed issues do not establish completion.",S07;S09;S26,proposed
B47,quality,first-section,Use failure families to prevent repeat work,"Every material defect links symptom, root cause, prevention requirement and acceptance evidence; repeated alerts are grouped.",S02;S03;S25,proposed
B48,quality,first-section,Bind assurance to the delivered candidate,Installed/benchmark/schema evidence records exact candidate and scope; focused repair checks precede the named cumulative gate.,S11;S25;S26,proposed
B49,analysis,first-member,Prove the first loads-to-actions solver,"Start with one prismatic simply supported span, point loads and full-span UDL; verify reactions/equilibrium/extrema and reject unsupported restraints.",S16;S17,proposed
B50,numerics,first-section,Specify numerical decision policy,"Use binary64, finite inputs, explicit tolerances and unrounded comparisons; formatting never changes the pass/fail decision.",S07;S08,proposed
B51,product,later-members,Reuse foundations beyond beams,"Share quantities, materials, code basis, result/issues and provenance; keep slab/column/footing models distinct until their workflows are specified.",S04;S09,proposed
B52,governance,first-section,Preserve existing scope and source permission,This proposal neither replaces old phase authority nor reopens granted normalized-IS-data distribution permission; no release follows from research.,S26;S30,proposed
